seed,model,acc_base,acc_drift,conf_base,conf_drift,ent_base,ent_drift,reliability_score
42,LR,0.9768442119307609,0.7838910150626733,0.943255514727548,0.923064450091477,0.16350970335906478,0.17971774891823727,0.07645076902111035
42,RF,0.9995611109160493,0.9991397773954567,0.9993908219514765,0.9949102910712405,0.002261667975808399,0.02531994173276309,0.00932004605259444
42,XGB,0.9995611109160493,0.9989642217618764,0.9998929500579834,0.9993657469749451,0.00042938528349623084,0.0024245053064078093,0.001039737400638378
123,LR,0.9780906569291808,0.8088550261577894,0.9482948073004631,0.927777958758533,0.14945263982854193,0.16871889983928703,0.06967291310802225
123,RF,0.9994382219725431,0.9991046662687406,0.9994778975457322,0.9948221621431831,0.002047513624665243,0.026118684464414763,0.009686820648700373
123,XGB,0.9995786664794073,0.9989817773252344,0.9999138116836548,0.9994296431541443,0.00035098305670544505,0.00211208313703537,0.000947385901935216
456,LR,0.9798813243916997,0.8167725852322602,0.9446825403925154,0.9163087300597961,0.16469919990954363,0.19558490322262986,0.07412275093508172
456,RF,0.9994908886626171,0.9991222218320986,0.9994266353007267,0.9952183912081737,0.002094245601966625,0.02431916237270653,0.00893394256460382
456,XGB,0.9995611109160493,0.9991748885221726,0.9998732209205627,0.9994140267372131,0.0004405275103636086,0.0022096142638474703,0.0008715011296392591
789,LR,0.9767564341139707,0.7451809978582212,0.9382898841814235,0.9283483953044706,0.1743934155201518,0.16760363303101575,0.08276890254061282
789,RF,0.999420666409185,0.9991748885221726,0.9994038130683612,0.9948822899476844,0.002322747538785369,0.025817043153246795,0.009420532207383573
789,XGB,0.9995084442259752,0.9992099996488887,0.9999155402183533,0.9994826316833496,0.000387673411751166,0.00201124744489789,0.0007849757247802384
1337,LR,0.976335100593378,0.7492538885572838,0.9309610631934663,0.9143796542159903,0.20192881777678773,0.19879940323246736,0.08226401185263017
1337,RF,0.9995084442259752,0.9989993328885924,0.9993835363926827,0.9959965415540184,0.0023315329081156325,0.020454261906582717,0.0073396117248380535
1337,XGB,0.9994557775359011,0.998735999438222,0.999847948551178,0.9993316531181335,0.0005158911808393896,0.0023691931273788214,0.0010297918063517653
