drift_type,drift,raw_acc,raw_conf,raw_ent,model
noise,0.0,0.9758084336926371,0.9466868234689086,0.15584667875211625,Logistic Regression
noise,0.2,0.9622555387802395,0.9373331984154119,0.16947543683655966,Logistic Regression
noise,0.5,0.8830097257821004,0.919424907014044,0.1923804229271291,Logistic Regression
noise,1.0,0.7571363365050384,0.9287849807511135,0.1655071998097457,Logistic Regression
scale,0.0,0.9758084336926371,0.9466868234689086,0.15584667875211625,Logistic Regression
scale,0.2,0.9649942066640919,0.9375485553199363,0.1707902438835972,Logistic Regression
scale,0.5,0.9348688599417155,0.9248918142400335,0.19105116598534969,Logistic Regression
scale,1.0,0.8694919419964187,0.9105390807303498,0.21015524263594507,Logistic Regression
bias,0.0,0.9758084336926371,0.9466868234689086,0.15584667875211625,Logistic Regression
bias,0.2,0.9821986587549595,0.958842445098835,0.12679010683758118,Logistic Regression
bias,0.5,0.9884133281837014,0.9725825043138351,0.09107516076784207,Logistic Regression
bias,1.0,0.9932411081071592,0.9863540041598801,0.05029489620068705,Logistic Regression
